Capital,DOCK,Date Built M,Date Built Y,Date Priced M,Date Priced Y,GARDEN SPACE,Guarding Tower,House ID,Knights house,Location,Meridian1,Meridian2,Renovation,River,Royal Market,Time1,Time2,bathrooms,bedrooms,blessings,dining rooms,farm,pay,sorcerer,tree
0,22.73322,10,1602,8,1608,1,222.764212,6e32d675,0,Cursed Land,0,0,0,39.853352,50.61605,11.59,6.59,4,3,74,4,0,1,0,1
39.33523,32.778152,7,1605,11,1612,0,106.244859,6e32d6ec,50.137683,Servant's Premises,0,1,0,21.599697,46.037998,9.33,5.22,4,0,121,3,1,0,0,1
12.31167,38.723276,3,1604,11,1612,0,16.475292,6e32d6ff,23.021557,The Mountains,1,1,0,17.769839,44.829363,12.22,4.28,4,2,148,2,1,0,0,0
20.812951,28.254131,5,1605,9,1612,0,248.660499,6e32d711,31.530613,The Mountains,0,1,0,2.189447,24.142442,7.33,7.25,2,2,139,2,1,0,0,0
5.134405,55.823443,1,1604,1,1611,0,137.720057,6e32d7b5,15.870721,Servant's Premises,0,0,0,62.371782,15.071091,11.37,1.22,3,3,155,3,1,0,0,1
12.818926,77.178597,8,1600,6,1611,0,104.395568,6e32d7de,23.252372,King's Landing,1,0,0,19.416002,29.397304,2.21,2.42,2,2,147,4,2,0,1,1
39.575028,1.467809,6,1600,1,1610,0,102.150075,6e32d7e7,50.2197,The Mountains,1,0,1,44.688567,52.48075,12.25,2.35,3,2,120,4,1,0,0,1
0,29.343361,3,1604,3,1612,0,76.970324,6e32d7f7,0,King's Landing,0,1,1,11.550646,0,11.21,7.39,4,2,74,3,1,0,1,0
43.776701,43.308427,6,1604,1,1607,0,48.611809,6e32d80d,53.900852,No Location,1,0,0,73.753749,43.559832,11.56,1.25,2,4,116,3,2,0,1,1
13.210754,5.199882,3,1602,3,1607,0,94.385622,6e32d896,23.24939,The Mountains,0,1,0,27.752067,33.683798,5.29,1.37,3,2,147,3,1,0,0,1
101.425697,16.166707,12,1600,5,1610,1,214.380435,6e32d8be,111.815132,The Mountains,1,0,0,14.316628,120.480445,2.58,10.19,4,3,59,2,0,1,0,1
11.626535,7.340811,7,1603,4,1610,1,19.527763,6e32d92a,22.285341,The Mountains,1,1,0,2.127443,2.969159,1.51,2.1,4,2,148,2,0,1,0,1
52.292404,3.275924,4,1601,2,1607,0,139.40264,6e32d93e,62.451459,No Location,0,1,1,22.829718,7.547997,12.53,7.58,4,2,108,2,1,0,0,1
34.030773,51.65286,2,1602,8,1607,0,97.007408,6e32d945,44.507222,King's Landing,0,0,0,26.739409,64.948857,11.19,3.13,4,2,126,3,2,0,1,0
23.393983,6.676025,6,1602,11,1609,0,90.638097,6e32d94b,33.505463,Cursed Land,1,0,0,13.909392,35.721388,5.42,6.41,4,4,137,4,1,0,1,1
5.596892,58.824426,3,1601,5,1611,0,32.820676,6e32d99a,15.931279,The Mountains,1,1,0,13.827031,15.008746,11.46,4.37,4,3,154,3,1,0,0,1
2.087338,12.526223,6,1603,8,1607,0,56.858607,6e32d9fd,12.807202,Cursed Land,0,1,0,43.996068,51.60109,10.23,1.39,3,2,158,4,1,0,1,1
12.955231,9.223375,5,1604,3,1609,0,108.431464,6e32da1d,23.793021,The Mountains,0,1,1,12.132057,88.088107,12.36,9.34,4,3,147,3,1,0,0,1
16.02218,38.419444,5,1601,10,1609,0,98.827479,6e32da37,26.024293,The Mountains,0,1,0,19.632429,43.842614,10.12,7.21,3,3,144,2,2,0,0,1
53.806216,43.299084,1,1605,4,1609,1,151.529582,6e32da9a,63.924799,King's Landing,1,1,1,48.583086,18.853059,5.32,9.55,4,2,106,3,0,1,0,1
10.184655,15.935259,12,1605,11,1611,0,92.357947,6e32dabb,20.366987,No Location,0,1,0,15.449139,0,7.52,7.14,3,2,150,2,1,0,0,0
87.973298,11.523713,6,1605,8,1612,0,112.983892,6e32db08,98.711887,No Location,1,1,0,80.233985,15.37679,7.26,4.57,3,2,72,0,1,0,0,1
7.434185,15.46026,3,1603,6,1608,0,95.434094,6e32db20,17.443489,The Mountains,1,1,0,13.449091,18.379269,4.13,11.52,2,3,153,3,2,0,0,1
15.696596,15.849066,9,1604,8,1608,1,186.803229,6e32db25,26.586301,Cursed Land,1,0,1,78.881186,103.469976,6.3,8.11,3,3,144,4,2,0,1,1
0.672768,47.874459,7,1602,7,1608,0,123.965509,6e32db4f,11.511937,No Location,0,0,0,38.988267,0,12.3,9.22,4,3,159,2,1,0,0,1
123.454633,49.615816,8,1602,8,1610,0,244.284057,6e32dbb8,133.739395,The Mountains,1,0,0,52.705442,25.094486,3.23,9.26,4,2,37,2,1,0,1,0
0,0,3,1605,3,1608,0,11.029339,6e32dbf1,0,Cursed Land,0,0,0,72.913419,92.935618,12.15,8.16,4,4,74,2,2,0,0,1
5.404916,44.823274,5,1604,6,1612,0,30.281424,6e32dc24,15.712186,No Location,0,0,0,5.730475,23.778922,1.24,9.48,3,0,155,4,1,0,0,1
28.174055,88.964305,9,1605,11,1610,1,22.450239,6e32dcf6,39.068399,No Location,1,0,0,17.860344,84.080113,6.17,11.35,3,4,132,0,1,0,0,1
87.170081,27.201874,9,1603,6,1610,0,139.502086,6e32dd65,97.790997,The Mountains,1,0,0,56.897865,21.704714,3.5,11.57,2,3,73,4,1,0,1,0
0,26.687994,11,1603,10,1609,0,11.903833,6e32dda9,0,The Mountains,0,1,0,15.684359,32.268293,2.4,2.36,4,2,74,3,1,0,0,1
37.969223,24.16349,1,1601,12,1608,0,39.814316,6e32dde0,48.636099,No Location,0,1,0,0.217141,0,11.25,10.57,4,4,122,2,1,0,1,0
11.295584,12.605132,6,1602,11,1611,0,34.036435,6e32de28,21.851463,King's Landing,1,1,0,8.416015,46.002054,12.47,5.4,4,3,149,2,2,0,1,0
11.002872,16.724667,7,1600,9,1608,0,64.170121,6e32deaa,21.756024,Servant's Premises,1,1,0,22.754808,41.762959,2.28,4.18,2,2,149,2,1,0,1,0
120.657143,59.212727,6,1605,1,1612,0,77.679897,6e32df00,130.96508,Servant's Premises,1,0,0,52.65919,45.360488,9.11,6.31,4,2,39,4,2,0,1,0
10.314759,125.126236,9,1602,10,1611,0,77.198389,6e32df2e,20.564642,Cursed Land,1,0,0,8.092795,28.717444,10.42,11.48,3,4,150,4,2,0,0,1
1.947959,1.810028,10,1603,10,1610,0,255.264298,6e32e01e,12.53544,Cursed Land,1,0,0,64.844456,0,7.42,11.29,4,3,158,3,1,0,0,1
45.37015,15.839628,2,1602,10,1608,0,90.376196,6e32e097,55.949524,Servant's Premises,0,1,0,82.071164,24.720838,11.1,6.4,0,2,115,0,2,0,1,0
7.909118,65.144325,12,1606,8,1610,0,115.476211,6e32e0ce,18.84602,Servant's Premises,1,0,1,11.190709,33.088162,11.13,2.13,3,4,152,2,2,0,0,1
9.110691,13.081048,12,1602,2,1611,1,144.365165,6e32e0d0,19.492473,No Location,0,0,0,47.023063,0,3.18,2.15,4,4,151,0,2,0,0,1
16.621247,16.634217,1,1606,10,1607,0,157.431607,6e32e16d,27.4167,The Mountains,1,1,0,54.52867,10.168153,12.31,12.52,0,2,143,3,1,0,0,0
44.805686,47.5965,11,1606,3,1611,0,107.713198,6e32e16f,55.456055,Servant's Premises,1,0,0,39.246439,27.371908,4.25,9.25,3,3,115,2,1,0,0,1
32.661442,82.147534,12,1603,4,1608,0,43.606171,6e32e1d4,43.416195,Cursed Land,1,0,0,8.795478,80.11073,5.49,1.47,2,4,127,2,2,0,0,1
3.84249,28.324443,8,1605,2,1611,0,14.166289,6e32e221,14.297767,Servant's Premises,1,0,0,67.382412,20.863578,1.34,10.51,3,2,156,3,1,0,1,0
54.931293,45.18362,6,1601,9,1609,0,108.230261,6e32e250,65.181369,The Mountains,0,0,0,59.184777,42.081209,7.23,5.12,3,4,105,0,1,0,0,0
37.745845,135.265118,5,1605,7,1607,0,107.812637,6e32e28f,47.842156,The Mountains,1,1,1,26.799044,0,11.26,2.21,2,4,122,2,2,0,0,0
51.725024,51.315595,1,1604,6,1608,0,111.925077,6e32e2a4,61.864059,King's Landing,0,1,0,73.166352,7.025047,10.26,2.16,4,2,108,0,1,0,0,1
0,0,5,1601,3,1607,0,189.283205,6e32e2d9,0,The Mountains,0,1,0,36.118357,0,3.42,5.15,4,2,74,4,1,0,0,1
0,30.305332,9,1605,6,1608,0,65.46014,6e32e347,0,No Location,0,1,0,7.488545,6.059265,10.24,1.37,2,3,74,3,2,0,0,1
89.180123,3.00191,9,1606,2,1609,0,71.619233,6e32e3c3,99.635513,The Mountains,0,1,1,50.052076,105.585376,8.31,2.13,4,4,71,0,2,0,0,1
2.414506,114.300282,12,1605,7,1608,0,188.085562,6e32e404,12.860578,The Mountains,1,1,0,19.233236,55.800295,3.35,6.22,4,3,158,2,1,0,0,1
40.107603,22.385752,1,1605,1,1608,1,39.002151,6e32e51e,50.767657,No Location,0,1,0,42.543711,30.616839,1.2,1.46,4,4,120,3,0,1,1,0
26.389844,34.049228,8,1600,6,1609,0,193.666615,6e32e5cf,36.464229,The Mountains,0,1,1,1.109117,0,7.3,10.12,2,4,134,4,1,0,0,1
15.022811,16.56208,5,1605,2,1610,0,152.610656,6e32e5f7,25.187162,The Mountains,0,0,0,14.568437,109.878399,5.38,5.57,4,2,145,2,1,0,0,0
4.474864,41.427792,11,1600,5,1609,0,108.24328,6e32e680,15.302723,The Mountains,0,0,0,51.250841,134.99089,7.46,2.22,3,4,156,3,1,0,1,0
16.203653,13.56572,1,1604,3,1609,0,80.59403,6e32e6ef,26.567956,Cursed Land,0,1,1,42.641244,52.308181,2.55,6.49,3,2,144,2,1,0,0,0
94.81258,82.168654,12,1605,8,1612,0,148.822825,6e32e73d,104.857114,The Mountains,0,1,1,55.926967,71.117208,12.3,5.24,3,3,65,4,1,0,0,1
26.950686,127.480179,4,1600,7,1609,1,153.517237,6e32e752,37.751382,The Mountains,1,1,0,39.922491,0,10.45,1.17,3,2,133,4,0,1,0,0
87.094436,62.236922,7,1601,7,1607,0,136.223987,6e32e761,97.591846,The Mountains,1,0,0,70.016776,32.054481,9.22,9.14,2,2,73,2,1,0,0,0
55.464302,36.539896,10,1601,10,1608,0,127.638044,6e32e7f3,65.896359,King's Landing,1,0,0,10.789867,86.703919,5.35,12.54,0,4,105,4,1,0,0,1
39.069937,16.072991,2,1601,7,1609,1,136.762181,6e32e804,49.452,Cursed Land,0,1,0,17.511452,73.19433,12.48,7.12,3,2,121,4,0,1,0,0
16.498299,61.838045,12,1605,2,1611,0,182.154267,6e32e8a3,26.58137,Cursed Land,1,1,0,14.830369,31.776391,4.47,9.43,4,2,144,0,2,0,0,0
17.236429,66.435503,3,1605,11,1609,1,101.288435,6e32e93d,28.079591,The Mountains,0,0,0,35.670145,0,12.31,4.49,3,4,143,3,1,0,1,1
109.034404,32.401974,5,1606,12,1612,0,1.119132,6e32ea1a,119.8471,Servant's Premises,1,1,0,20.098718,120.638986,9.25,6.5,2,3,51,2,1,0,0,1
43.952529,48.233534,7,1600,11,1612,0,107.793152,6e32eade,54.548967,The Mountains,1,1,1,3.298415,24.276904,2.45,4.46,2,2,116,3,2,0,1,0
111.873341,1.776603,3,1606,4,1611,0,110.787455,6e32eb2e,122.499701,Cursed Land,0,0,0,10.520413,46.73829,3.58,3.43,4,4,48,2,2,0,0,1
99.508893,108.148432,2,1601,3,1607,0,137.856256,6e32eba2,109.624339,The Mountains,1,1,0,54.18868,54.003577,2.57,8.55,2,2,60,4,1,0,0,1
58.798303,18.372118,2,1603,3,1612,1,204.578363,6e32ebe3,69.5937,The Mountains,1,0,0,22.760581,77.258708,6.21,5.49,2,3,101,3,0,1,1,1
5.221499,54.68288,1,1602,1,1607,0,77.372943,6e32ec34,15.719702,Cursed Land,0,0,1,19.719589,0,6.28,8.55,2,3,155,4,2,0,0,1
127.834545,57.964,3,1605,1,1608,1,116.266894,6e32ec41,137.88327,Cursed Land,0,1,0,14.385904,5.321363,8.36,7.19,3,2,32,2,1,0,1,1
49.29521,23.510414,1,1601,5,1609,1,131.88196,6e32ec5a,59.439963,The Mountains,1,0,0,20.168419,151.288415,8.33,2.56,4,3,111,2,0,1,0,1
33.257968,70.255352,3,1606,12,1609,0,80.520978,6e32ec6c,43.873319,Servant's Premises,1,0,0,29.91295,83.186841,7.19,4.46,3,0,127,4,1,0,0,1
19.192357,65.831653,5,1604,10,1610,0,58.662218,6e32ec80,29.319049,King's Landing,0,1,0,2.972107,53.079043,4.17,2.26,3,4,141,4,1,0,0,1
0,55.439489,3,1602,2,1609,0,42.567072,6e32ece6,0,The Mountains,0,0,0,60.529479,48.120112,2.41,12.41,2,2,74,2,1,0,0,0
8.058761,0,7,1601,2,1611,0,46.381771,6e32ed04,18.48293,Cursed Land,1,1,0,69.937763,20.311868,3.15,10.18,4,2,152,3,1,0,1,1
17.201414,17.129436,5,1603,4,1607,0,222.775042,6e32ed11,27.304674,King's Landing,1,1,0,10.59375,31.403159,10.3,10.32,3,3,143,2,1,0,0,0
35.271252,0,5,1604,1,1609,0,85.347641,6e32ed33,46.270155,Servant's Premises,0,1,0,20.584175,101.858187,4.22,2.42,3,2,125,3,1,0,1,0
30.996251,0,5,1603,4,1609,1,110.892347,6e32ed5a,41.112673,No Location,1,1,0,11.575105,56.341857,9.56,7.32,2,4,129,3,0,1,0,0
35.665605,0,4,1604,7,1607,0,0,6e32ed6a,45.997921,King's Landing,1,1,1,48.211436,39.916627,1.44,6.16,3,3,124,4,2,0,1,0
42.896108,10.979684,11,1604,4,1609,1,74.782183,6e32ed82,53.186859,No Location,0,0,0,92.201144,15.964731,1.35,10.47,2,3,117,4,1,0,0,1
1.603441,10.596388,9,1604,8,1607,0,85.074174,6e32ed87,12.554745,The Mountains,1,1,0,10.146601,0.781043,10.45,2.22,4,2,158,3,1,0,0,1
136.261606,10.357316,3,1605,2,1612,1,62.236329,6e32edb5,146.286293,Servant's Premises,0,0,0,2.193224,39.595299,7.34,2.29,3,4,24,3,0,1,1,1
108.569001,17.422897,1,1605,4,1609,0,158.955427,6e32edd2,119.382068,The Mountains,0,0,0,19.399077,0,5.19,5.23,3,4,51,4,1,0,0,0
82.333804,27.34254,8,1602,7,1612,1,143.918899,6e32ee37,93.197305,The Mountains,1,0,0,15.034108,0,11.42,11.54,4,4,78,4,0,1,0,1
29.617033,23.844463,6,1602,6,1612,0,49.506017,6e32eeb4,40.589013,King's Landing,0,0,1,29.606564,8.060128,4.51,3.2,3,2,130,2,1,0,0,0
72.789621,0,11,1603,8,1611,1,86.666803,6e32eece,82.794337,The Mountains,1,0,0,13.092128,17.755532,5.3,7.33,2,2,87,0,0,1,1,0
7.700493,25.677081,8,1605,5,1611,1,216.412141,6e32ef34,18.01107,King's Landing,0,0,0,11.27701,116.374439,5.47,5.51,3,3,152,4,0,1,0,0
35.943465,17.400528,3,1605,5,1611,0,63.783963,6e32ef46,46.349177,Servant's Premises,1,0,0,40.012636,14.721643,7.4,1.11,0,4,124,2,1,0,0,1
106.493211,0,9,1601,11,1607,1,0,6e32ef67,117.181909,Cursed Land,0,0,0,18.117324,78.748674,4.2,8.42,4,3,54,3,0,1,1,1
12.563324,43.940734,4,1600,5,1611,0,157.878727,6e32ef72,22.62168,Servant's Premises,1,0,0,6.119341,0,7.14,3.37,3,3,147,4,2,0,0,1
44.33033,44.031469,2,1600,4,1612,0,0.450249,6e32ef77,54.75326,The Mountains,0,1,0,46.391247,78.955361,1.55,4.16,4,4,116,3,1,0,1,1
34.550214,110.118335,4,1606,8,1610,0,200.942988,6e32ef8e,45.31717,King's Landing,1,0,0,20.646128,37.741367,5.55,11.52,2,3,125,2,1,0,0,0
35.895927,3.671644,10,1600,11,1608,0,218.23461,6e32ef9a,46.476368,The Mountains,0,0,0,1.484831,19.706329,10.47,11.17,4,3,124,4,1,0,0,1
17.522181,83.609847,3,1601,11,1608,0,27.705017,6e32efbe,27.619672,Cursed Land,0,1,0,21.186655,46.323461,3.56,7.19,3,3,142,3,1,0,0,1
68.715839,29.119829,3,1605,2,1611,0,111.436447,6e32efda,79.488045,The Mountains,1,1,0,58.761653,56.819087,11.39,6.27,4,4,91,3,1,0,0,0
8.968649,124.243408,11,1603,10,1609,0,253.303806,6e32efef,19.598181,The Mountains,0,0,0,80.232822,47.029924,6.4,6.51,3,3,151,2,1,0,0,0
0,21.430115,8,1605,4,1608,0,93.401564,6e32f028,0,Servant's Premises,1,0,0,64.320938,29.429765,3.51,8.41,3,3,74,2,1,0,0,1
55.12447,45.215836,4,1601,8,1609,0,0.475582,6e32f046,66.055376,The Mountains,1,0,0,13.680943,5.889244,7.46,8.39,4,3,105,2,1,0,0,1
124.635107,15.357443,11,1602,10,1609,0,35.364809,6e32f064,134.680243,King's Landing,0,1,0,10.348242,50.781155,7.47,10.57,3,0,35,2,1,0,0,1
19.939251,0,12,1605,11,1610,1,197.959578,6e32f07a,30.397395,The Mountains,0,1,0,54.328003,39.649438,11.4,5.2,3,4,140,2,1,0,0,1
58.220653,46.535492,3,1600,10,1611,1,104.548937,6e32f097,69.049665,The Mountains,1,0,0,51.080164,79.211076,6.42,7.55,3,3,102,2,0,1,0,1
55.898123,119.78848,10,1605,3,1607,0,5.31913,6e32f09d,66.036172,The Mountains,1,0,0,37.526751,39.08632,5.36,4.56,3,2,104,3,1,0,0,1
27.305139,3.599181,10,1603,8,1608,0,166.20994,6e32f0c8,38.180489,King's Landing,0,0,0,64.79227,1.104552,4.22,10.33,4,2,133,0,1,0,0,1
20.219826,125.206651,2,1602,1,1608,0,290.020054,6e32f0d0,30.343218,The Mountains,0,0,0,11.492652,132.701742,6.35,4.52,3,4,140,4,1,0,0,1
12.048078,25.45865,7,1604,7,1608,0,54.01831,6e32f100,22.325481,No Location,1,1,1,39.731967,70.831585,1.4,6.24,2,4,148,2,1,0,0,1
12.246635,13.399839,4,1603,4,1612,1,127.169718,6e32f140,22.831679,King's Landing,1,1,0,6.083975,34.685199,1.18,6.58,3,3,148,4,2,0,0,0
132.383351,36.28429,8,1601,2,1609,0,49.934311,6e32f18e,143.364387,The Mountains,0,1,0,59.038717,0,12.48,10.43,4,4,28,0,1,0,1,1
47.897837,24.591274,9,1600,1,1610,1,53.629348,6e32f1b4,58.562252,King's Landing,1,1,0,30.798371,16.105396,12.56,6.54,3,4,112,2,0,1,0,1
9.073217,80.026362,10,1606,9,1611,0,120.839678,6e32f2a3,19.222162,No Location,1,0,0,43.854493,65.848674,10.24,10.55,2,2,151,4,1,0,0,0
9.000232,0,10,1601,11,1608,0,70.121423,6e32f2f2,19.076888,The Mountains,1,1,0,3.268812,93.506309,1.51,1.53,3,2,151,4,1,0,1,0
62.126085,32.463429,10,1605,8,1612,1,134.237321,6e32f2f4,72.402369,The Mountains,1,1,0,9.324663,49.262813,10.54,11.45,0,2,98,2,0,1,0,1
18.108261,26.947252,9,1601,1,1607,0,0,6e32f2fc,28.349126,The Mountains,1,1,0,14.442153,44.611907,5.26,1.31,2,2,142,3,1,0,1,1
53.843968,32.19027,4,1606,12,1612,0,6.06919,6e32f365,64.804991,King's Landing,1,1,0,64.399672,0,10.53,7.18,3,3,106,3,1,0,0,1
49.97837,116.242231,8,1604,10,1609,0,164.379523,6e32f4a9,60.745818,King's Landing,1,1,0,17.010209,90.899943,9.19,3.53,2,2,110,3,1,0,1,1
45.166705,1.202749,9,1604,3,1607,0,132.036314,6e32f4de,55.56406,King's Landing,1,1,0,3.921731,9.753555,6.23,7.37,4,3,115,2,1,0,0,1
1.353889,30.856003,8,1606,11,1612,0,62.740717,6e32f519,11.86566,King's Landing,1,0,0,18.93291,111.704591,10.35,9.14,3,2,159,3,2,0,0,1
19.498317,70.105522,10,1600,4,1608,0,108.971535,6e32f59d,29.691339,King's Landing,0,0,0,20.00671,0.998531,11.13,12.38,4,2,141,2,1,0,0,1
126.332389,78.651069,12,1604,4,1608,0,97.920472,6e32f5ca,137.019477,King's Landing,1,0,0,46.863148,3.420058,7.12,10.52,2,3,34,4,1,0,0,1
29.860039,16.65747,3,1603,4,1608,0,84.062681,6e32f5f0,40.379132,The Mountains,1,0,1,22.20238,50.465295,5.19,9.52,0,3,130,2,1,0,0,1
32.75378,20.075593,5,1602,5,1610,0,86.424196,6e32f611,43.406444,Cursed Land,0,0,0,15.18453,42.588087,4.43,9.54,3,4,127,4,2,0,0,1
32.772619,140.127085,3,1602,8,1610,0,4.647844,6e32f61e,43.378418,Servant's Premises,0,0,1,5.7333,67.084998,9.52,3.17,4,3,127,2,1,0,0,1
13.931887,24.031289,4,1602,9,1612,0,211.563312,6e32f636,24.45272,The Mountains,1,0,1,19.793516,28.666679,6.59,6.29,3,4,146,2,1,0,0,1
4.082522,0,12,1604,4,1607,1,11.765375,6e32f642,14.235091,The Mountains,1,0,0,11.587605,121.421343,3.36,3.3,3,3,156,2,0,1,1,0
100.731083,65.528977,1,1605,5,1610,0,183.838863,6e32f66a,111.539645,Cursed Land,1,0,0,5.086597,0,6.15,9.25,4,2,59,3,1,0,0,1
18.598936,27.54467,1,1600,2,1610,1,42.019876,6e32f683,28.840845,The Mountains,0,1,0,31.767058,50.429949,1.57,3.1,2,2,141,2,0,1,0,0
13.671628,78.608881,4,1605,9,1609,0,49.148938,6e32f6b9,24.295095,The Mountains,0,0,0,51.746624,11.157861,8.38,6.14,3,4,146,3,1,0,0,1
0,117.905243,12,1603,3,1612,1,175.176131,6e32f6bf,0,Servant's Premises,0,1,1,30.146237,48.335609,4.43,11.15,2,4,74,2,2,0,0,1
10.78452,10.155018,10,1603,5,1610,1,20.759348,6e32f6d4,21.04,The Mountains,0,0,0,5.429708,85.455286,2.54,12.26,4,2,149,2,1,0,0,1
70.437863,33.230726,1,1604,4,1612,0,9.662734,6e32f731,81.095996,Cursed Land,0,0,0,10.404288,54.949415,5.5,10.36,3,4,90,3,2,0,0,1
